"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"China","CHN","Population ages 15-19, female (% of female population)","SP.POP.1519.FE.5Y","7.95389598548523","8.10484061707598","8.27083076653806","8.48861813275247","8.81068258151745","9.245858591642","9.68032409656052","10.2433702660491","10.8000109657318","11.1619135000829","11.2428462159342","11.0561763787361","10.6504090186048","10.1518423682225","9.75481364653838","9.57231896278767","9.58218192159668","9.75348581614972","10.0500190979114","10.4059015996712","10.7709344326412","11.1703504712036","11.5739361689044","11.9322402473551","12.1735120879446","12.2512647319605","12.1512184258543","11.9071556389125","11.5427086498024","11.0995619136335","10.6115969209161","10.0329588160043","9.4477218662055","8.8827152817745","8.38747086904423","8.0042981848112","7.79247680561242","7.64503693045122","7.59811240489943","7.69411183131494","7.93920221370128","8.28570762450615","8.80566297728495","9.35754422970534","9.72073590135515","9.76793803610397","9.5358041020026","8.99444350195471","8.27331827548173","7.58504192490225","7.05965946609119","6.66650950390023","6.4153317839116","6.26735414820481","6.14714195856575","6.00887092559866","5.86995779370763","5.73701567744113","5.61605215520625","5.51956890912623","",
"China","CHN","Female headed households (% of households with a female head)","SP.HOU.FEMA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","397.316","396.271","395.226","371.219","347.213","323.206","299.2","275.193","257.75","240.308","222.865","205.422","187.979","179.878","171.778","163.677","155.577","147.476","144.034","140.592","137.15","133.709","130.267","127.03","123.793","120.556","117.319","114.083","112.916","111.749","110.583","109.416","108.249","106.486","104.722","102.958","101.194","99.431","97.72","96.01","94.3","92.589","90.879","89.132","87.384","85.637","83.889","82.142","79.626","77.109","74.593","72.077","69.561","67.867","66.173","64.479","62.785","61.091","60.272","","",
"China","CHN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","5.30000019073486","5.40000009536743","4.90000009536743","3.79999995231628","3.20000004768372","2.29999995231628","1.89999997615814","1.79999995231628","2","2","2","2.59999990463257","2.5","2.29999995231628","2.29999995231628","2.59999990463257","2.79999995231628","2.90000009536743","3","3.09999990463257","3.09999990463257","3.09999990463257","3.09999990463257","3.59999990463257","4","4.30000019073486","4.19999980926514","4.19999980926514","4.09999990463257","4","4.19999980926514","4.30000019073486","4.09999990463257","4.09999990463257","4.09999990463257","4.05000019073486","4.09999990463257","","","3.90000009536743","3.79999995231628","5.15000009536743","",
"China","CHN","Unemployment with advanced education, female (% of female labor force with advanced education)","SL.UEM.ADVN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","78.7399978637695","","","","","","","","79.1699981689453","","","","","","","","","","76.8199996948242","76.4599990844727","75.6600036621094","74.9899978637695","74.2399978637695","74.2399978637695","73.7300033569336","73.1800003051758","72.8300018310547","72.4599990844727","70.9599990844727","70.8399963378906","70.6999969482422","70.6800003051758","70.629997253418","70.6900024414063","70.8899993896484","","","","",
"China","CHN","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.2600021362305","77.7799987792969","77.3099975585938","76.8199996948242","76.2399978637695","75.4800033569336","74.5299987792969","73.3600006103516","71.9700012207031","70.4199981689453","68.8000030517578","66.629997253418","64.3899993896484","62.2700004577637","60.4799995422363","59.1399993896484","58.2000007629395","57.7200012207031","57.4300003051758","56.9000015258789","55.8600006103516","55","53.7299995422363","52.1300010681152","50.4700012207031","49.060001373291","47.9000015258789","46.9799995422363","46.2299995422363","45.5499992370605","",
"China","CHN","Average working hours of children, study and work, male, ages 7-14 (hours per week)","SL.TLF.0714.SW.MA.TM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","SL.EMP.VULN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.7900009155274","64.6499996185303","63.4899997711181","62.4099979400635","61.5100002288818","60.7800006866455","60.170000076294","59.7999992370606","59.4300003051757","58.9299983978271","58.3999996185303","57.7299995422363","56.8599987030029","55.9899997711182","54.9599990844727","53.8600006103516","52.6700000762939","51.7299995422364","50.9000015258789","49.8999996185303","49.0700016021728","48.5","47.9799995422363","47.5200004577636","47.189998626709","46.8899993896484","46.5300006866455","45.7200012207031","44.7600002288818","",
